run,note,clk_ns,util,effort,target_slack,derate,date,wns_place,wns_cts,wns_hold_cts,wns_setup,wns_hold,n_setup_viol,n_hold_viol,tns_setup,cells,fillers,flops,logic_um2,core_um2,density_pct,wire_um,wns_place_start,wns_setup_slow,tns_setup_slow,n_setup_viol_slow,wns_hold_slow,n_hold_viol_slow,wns_setup_typ,tns_setup_typ,n_setup_viol_typ,wns_hold_typ,n_hold_viol_typ,wns_setup_fast,tns_setup_fast,n_setup_viol_fast,wns_hold_fast,n_hold_viol_fast
confirm-clk4p1-u69-ts06,"closure repeatability probe at 4.1 ns, target slack 0.06 ns",4.1,0.69,medium,0.06,,Wed Aug 12 14:29:29 2026,0.044,0.03,0.026,0.022,0.026,0,0,0.0,5215,7789,1347,13435.926,19029.64,70.605,81419.06,-2.319,0.022,0.0,0,0.208,0,2.213,0.0,0,0.055,0,2.418,0.0,0,0.026,0
confirm-clk4p1-u71-ts06,"closure repeatability probe at 4.1 ns, target slack 0.06 ns",4.1,0.71,medium,0.06,,Wed Aug 12 14:45:23 2026,0.039,0.001,0.025,-0.005,0.025,1,0,-0.005,5268,7756,1347,13542.326,18500.034,73.202,85736.035,-2.52,-0.005,-0.005,1,0.211,0,2.153,0.0,0,0.055,0,2.38,0.0,0,0.025,0
confirm-clk4p1-u72-ts06,"closure repeatability probe at 4.1 ns, target slack 0.06 ns",4.1,0.72,medium,0.06,,Wed Aug 12 14:59:54 2026,0.048,0.03,0.001,0.036,0.001,0,0,0.0,5225,7973,1347,13442.842,18232.704,73.729,81869.24,-2.306,0.036,0.0,0,0.106,0,2.205,0.0,0,0.017,0,2.421,0.0,0,0.001,0
confirm-clk4p0-u68-ts06,"closure repeatability probe at 4.0 ns, target slack 0.06 ns",4.0,0.68,medium,0.06,,Wed Aug 12 15:31:31 2026,0.026,0.018,0.019,0.003,0.02,0,0,0.0,5303,7500,1347,13600.048,19276.488,70.553,83302.655,-2.832,0.003,0.0,0,0.185,0,2.192,0.0,0,0.046,0,2.38,0.0,0,0.02,0
confirm-clk4p0-u69-ts06,"closure repeatability probe at 4.0 ns, target slack 0.06 ns",4.0,0.69,medium,0.06,,Wed Aug 12 15:47:40 2026,0.037,0.009,0.022,0.0,0.022,0,0,0.0,5287,7824,1347,13560.68,19003.572,71.359,83342.355,-2.96,0.0,0.0,0,0.195,0,2.19,0.0,0,0.05,0,2.388,0.0,0,0.022,0
confirm-clk4p0-u72-ts06,"closure repeatability probe at 4.0 ns, target slack 0.06 ns",4.0,0.72,medium,0.06,,Wed Aug 12 16:19:29 2026,0.039,-0.003,0.014,0.002,0.015,0,0,0.0,5266,7627,1347,13523.174,18207.168,74.274,87413.79,-2.736,0.002,0.0,0,0.173,0,2.104,0.0,0,0.041,0,2.326,0.0,0,0.015,0
confirm-clk4p0-u71-ts06,,4.0,0.71,medium,0.06,,Wed Aug 12 16:32:04 2026,-0.018,0.008,0.026,0.014,0.026,0,0,0.0,5319,7857,1347,13631.702,18448.43,73.891,86520.915,-3.008,0.014,0.0,0,0.211,0,2.229,0.0,0,0.056,0,2.401,0.0,0,0.026,0
fmax2-clk3p4,,3.4,0.7,medium,0.0,,Wed Aug 12 16:46:32 2026,-0.565,-0.456,-0.064,-0.466,-0.061,15,27,-2.836,5698,7274,1347,14078.582,18925.368,74.39,86889.845,-2.794,-0.466,-2.836,15,-0.247,16,1.589,0.0,0,-0.082,12,1.844,0.0,0,-0.061,27
rstsync2-clk4p0-u71,reset synchroniser plus 80 ps hold margin,4.0,0.71,medium,0.06,,Wed Aug 12 18:13:17 2026,0.02,-0.002,-0.061,0.032,-0.061,0,0,0.0,5248,7861,1349,13567.862,18474.232,73.442,84604.75,-3.283,0.032,0.0,0,-0.477,190,2.159,0.0,0,-0.114,179,2.368,0.0,0,-0.061,119
rstneg-clk4p0-u71,reset released on the falling edge,4.0,0.71,medium,0.06,,Wed Aug 12 19:12:02 2026,0.004,0.036,0.026,0.02,0.026,0,0,0.0,5265,7853,1350,13577.97,18474.232,73.497,85136.6,-3.136,0.02,0.0,0,0.208,0,1.476,0.0,0,0.056,0,1.642,0.0,0,0.026,0
ocv-clk4p25-u71,"5 percent OCV, built for it",4.25,0.71,medium,0.06,0.05,Wed Aug 12 20:55:15 2026,0.056,0.026,0.002,0.002,0.003,0,0,0.0,5344,7783,1350,13655.642,18474.232,73.917,87275.03,-3.264,0.196,0.0,0,0.162,0,1.642,0.0,0,0.042,0,1.784,0.0,0,0.017,0
